token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1,GOLDSTAR-SM,GOLDSTAR,,-1.000000,11250,,NSE,5.000000
1007,679PN35-SG,679PN35,,-1.000000,100,,NSE,1.000000
1018,68TS50-SG,68TS50,,-1.000000,100,,NSE,1.000000
10181,BALKRISHNA-EQ,BALKRISHNA,,-1.000000,1,,NSE,1.000000
10212,794TS36-SG,794TS36,,-1.000000,100,,NSE,1.000000
10216,795AP40-SG,795AP40,,-1.000000,100,,NSE,1.000000
10227,MANORAMA-EQ,MANORAMA,,-1.000000,1,,NSE,10.000000
10253,EMKAYTOOLS-SM,EMKAYTOOLS,,-1.000000,150,,NSE,5.000000
10255,795AP40A-SG,795AP40A,,-1.000000,100,,NSE,1.000000
10261,SGBJUN27-GB,SGBJUN27,,-1.000000,1,,NSE,1.000000
10285,AYMSYNTEX-EQ,AYMSYNTEX,,-1.000000,1,,NSE,1.000000
10297,PPL-EQ,PPL,,-1.000000,1,,NSE,5.000000
10578,MPSLTD-EQ,MPSLTD,,-1.000000,1,,NSE,10.000000
10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000
10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1.000000,1,,NSE,10.000000
10684,SHAIVAL-ST,SHAIVAL,,-1.000000,3600,,NSE,5.000000
1075,65GJ30-SG,65GJ30,,-1.000000,100,,NSE,1.000000
10765,765AS32-SG,765AS32,,-1.000000,100,,NSE,1.000000
10783,774TS45-SG,774TS45,,-1.000000,100,,NSE,1.000000
10784,774TS46-SG,774TS46,,-1.000000,100,,NSE,1.000000
10839,HDFC1406DG-MF,HDFC1406DG,,-1.000000,1,,NSE,1.000000
10845,771KL42-SG,771KL42,,-1.000000,100,,NSE,1.000000
10990,RADICO-EQ,RADICO,,-1.000000,1,,NSE,10.000000
10786,NOIDATOLL-EQ,NOIDATOLL,,-1.000000,1,,NSE,1.000000
11027,INFOBEAN-EQ,INFOBEAN,,-1.000000,1,,NSE,5.000000
11095,755AS32-SG,755AS32,,-1.000000,100,,NSE,1.000000
11096,757JK34-SG,757JK34,,-1.000000,100,,NSE,1.000000
11192,SGBAUG30-GB,SGBAUG30,,-1.000000,1,,NSE,1.000000
1127,GHCL-EQ,GHCL,,-1.000000,1,,NSE,5.000000
11275,TVTODAY-EQ,TVTODAY,,-1.000000,1,,NSE,1.000000
11276,768PN42-SG,768PN42,,-1.000000,100,,NSE,1.000000
1139,GICHSGFIN-EQ,GICHSGFIN,,-1.000000,1,,NSE,1.000000
11401,778MZ32-SG,778MZ32,,-1.000000,100,,NSE,1.000000
11415,783TS36-SG,783TS36,,-1.000000,100,,NSE,1.000000
11432,KRITINUT-EQ,KRITINUT,,-1.000000,1,,NSE,1.000000
11492,SWASTIK-SM,SWASTIK,,-1.000000,1200,,NSE,5.000000
11515,785PN42-SG,785PN42,,-1.000000,100,,NSE,1.000000
11480,KRIDHANINF-EQ,KRIDHANINF,,-1.000000,1,,NSE,1.000000
11513,785BR32-SG,785BR32,,-1.000000,100,,NSE,1.000000
11538,HDFCMOMENT-EQ,HDFCMOMENT,,-1.000000,1,,NSE,1.000000
11562,HDFC1359RD-MF,HDFC1359RD,,-1.000000,1,,NSE,1.000000
11581,GULFPETRO-EQ,GULFPETRO,,-1.000000,1,,NSE,1.000000
11596,LINCOLN-EQ,LINCOLN,,-1.000000,1,,NSE,5.000000
1162,GTL-EQ,GTL,,-1.000000,1,,NSE,1.000000
11598,773BR32-SG,773BR32,,-1.000000,100,,NSE,1.000000
11618,ASTRAMICRO-EQ,ASTRAMICRO,,-1.000000,1,,NSE,10.000000
11640,BOHRAIND-EQ,BOHRAIND,,-1.000000,1,,NSE,1.000000
11743,JINDALPHOT-EQ,JINDALPHOT,,-1.000000,1,,NSE,10.000000
11748,725IRFC35-NH,725IRFC35,,-1.000000,1,,NSE,1.000000
11764,782AS32A-SG,782AS32A,,-1.000000,100,,NSE,1.000000
11768,784TS40-SG,784TS40,,-1.000000,100,,NSE,1.000000
11796,HPIL-EQ,HPIL,,-1.000000,1,,NSE,1.000000
11798,ALLDIGI-EQ,ALLDIGI,,-1.000000,1,,NSE,5.000000
